[root@rh7-ocp3-mst01 ~]# oc get all --all-namespaces
NAMESPACE                           NAME                                               READY     STATUS      RESTARTS   AGE
app-storage                         pod/glusterblock-storage-provisioner-dc-1-fxph7    1/1       Running     1          1d
app-storage                         pod/glusterfs-storage-kpnw8                        1/1       Running     0          1d
app-storage                         pod/glusterfs-storage-wcvzj                        1/1       Running     0          1d
app-storage                         pod/glusterfs-storage-ztdkj                        1/1       Running     0          1d
app-storage                         pod/heketi-storage-1-97vz2                         1/1       Running     0          1d
default                             pod/docker-registry-2-rz69m                        1/1       Running     0          1d
default                             pod/registry-console-2-lvjr6                       1/1       Running     0          1d
default                             pod/router-2-9t9ns                                 1/1       Running     0          1d
default                             pod/router-2-nc2l9                                 1/1       Running     0          1d
default                             pod/router-2-rclq8                                 1/1       Running     0          1d
infra-storage                       pod/glusterblock-registry-provisioner-dc-1-h4jlw   1/1       Running     1          1d
infra-storage                       pod/glusterfs-registry-5tj99                       1/1       Running     0          1d
infra-storage                       pod/glusterfs-registry-8mkkc                       1/1       Running     0          1d
infra-storage                       pod/glusterfs-registry-kxxhk                       1/1       Running     0          1d
infra-storage                       pod/heketi-registry-1-j4whb                        1/1       Running     0          1d
kube-service-catalog                pod/apiserver-9trnc                                1/1       Running     0          1d
kube-service-catalog                pod/apiserver-q6x45                                1/1       Running     0          1d
kube-service-catalog                pod/apiserver-xmpj7                                1/1       Running     0          1d
kube-service-catalog                pod/controller-manager-9gg5x                       1/1       Running     0          1d
kube-service-catalog                pod/controller-manager-gszrv                       1/1       Running     0          1d
kube-service-catalog                pod/controller-manager-jfkzx                       1/1       Running     2          1d
kube-system                         pod/master-api-rh7-ocp3-mst01.matrix.lab           1/1       Running     0          2d
kube-system                         pod/master-api-rh7-ocp3-mst02.matrix.lab           1/1       Running     0          2d
kube-system                         pod/master-api-rh7-ocp3-mst03.matrix.lab           1/1       Running     0          2d
kube-system                         pod/master-controllers-rh7-ocp3-mst01.matrix.lab   1/1       Running     0          2d
kube-system                         pod/master-controllers-rh7-ocp3-mst02.matrix.lab   1/1       Running     0          2d
kube-system                         pod/master-controllers-rh7-ocp3-mst03.matrix.lab   1/1       Running     0          2d
kube-system                         pod/master-etcd-rh7-ocp3-mst01.matrix.lab          1/1       Running     0          2d
kube-system                         pod/master-etcd-rh7-ocp3-mst02.matrix.lab          1/1       Running     0          2d
kube-system                         pod/master-etcd-rh7-ocp3-mst03.matrix.lab          1/1       Running     0          2d
openshift-ansible-service-broker    pod/asb-1-27pgc                                    1/1       Running     0          1d
openshift-console                   pod/console-58bc77f6f5-kcf8m                       1/1       Running     0          1d
openshift-console                   pod/console-58bc77f6f5-tfspf                       1/1       Running     0          1h
openshift-console                   pod/console-58bc77f6f5-tqspq                       1/1       Running     0          1d
openshift-infra                     pod/hawkular-cassandra-1-44p8s                     1/1       Running     0          57m
openshift-infra                     pod/hawkular-metrics-cmfpx                         1/1       Running     0          57m
openshift-infra                     pod/hawkular-metrics-schema-xctxr                  0/1       Completed   1          58m
openshift-infra                     pod/heapster-tqkqs                                 1/1       Running     0          57m
openshift-logging                   pod/logging-es-data-master-bwqiivte-3-sksws        2/2       Running     0          25m
